rotation_speed(°/s),steps,waiting_time(s)
9.335045,180,0.004
9.429183,180,0.00396
9.525019,180,0.00392
9.62273,180,0.00388
9.722626,180,0.00384
9.824564,180,0.0038
9.928569,180,0.00376
10.03492,180,0.00372
10.14344,180,0.00368
10.25446,180,0.00364
10.36787,180,0.0036
10.48389,180,0.00356
10.60251,180,0.00352
10.72373,180,0.00348
10.8478,180,0.00344
10.97485,180,0.0034
11.10492,180,0.00336
11.23803,180,0.00332
11.37445,180,0.00328
11.51417,180,0.00324
11.65737,180,0.0032
11.80425,180,0.00316
11.95469,180,0.00312
12.10917,180,0.00308
12.26758,180,0.00304
12.43026,180,0.003
12.59744,180,0.00296
12.76914,180,0.00292
12.94537,180,0.00288
13.12669,180,0.00284
13.31327,180,0.0028
13.50481,180,0.00276
13.7024,180,0.00272
13.9058,180,0.00268
14.11518,180,0.00264
14.33083,180,0.0026
14.5534,180,0.00256
14.78289,180,0.00252
15.01968,180,0.00248
15.26449,180,0.00244
15.51716,180,0.0024
15.77832,180,0.00236
16.04832,180,0.00232
16.32808,180,0.00228
16.61287,180,0.00224
16.91476,180,0.0022
17.21582,180,0.00216
17.53707,180,0.00212
17.87025,180,0.00208
18.22237,180,0.00204
18.57378,180,0.002
18.949,180,0.00196
19.33446,180,0.00192
19.73156,180,0.00188
20.15519,180,0.00184
20.59349,180,0.0018
21.04724,180,0.00176
21.52898,180,0.00172
22.03263,180,0.00168
22.5591,180,0.00164
23.11431,180,0.0016
23.68804,180,0.00156
24.2963,180,0.00152
24.9496,180,0.00148
25.62296,180,0.00144
26.31939,180,0.0014
27.0737,180,0.00136
27.87869,180,0.00132
28.71632,180,0.00128
29.63605,180,0.00124
30.5675,180,0.0012
31.59338,180,0.00116
32.71209,180,0.00112
33.88827,180,0.00108
35.10925,180,0.00104
36.46507,180,0.001
37.96224,180,0.00096
39.53187,180,0.00092
41.23472,180,0.00088
43.14208,180,0.00084
45.18882,180,0.0008
47.46274,180,0.00076
49.96862,180,0.00072
52.81204,180,0.0006799999
55.94839,180,0.00064
59.52655,180,0.0006
63.52642,180,0.00056
68.08157,180,0.00052
73.37236,180,0.00048
79.46799,180,0.00044
86.73629,180,0.0004
95.56407,180,0.00036
106.1478,180,0.00032
118.5582,180,0.00028
134.2621,180,0.00024
154.0467,180,0.0002
161.2426,180,0.00016
139.0007,180,0.00012
139.0707,180,8e-05
139.2536,180,4e-05
143.1999,180,0.0
9.335229,170,0.004
9.429162,170,0.00396
9.524973,170,0.00392
9.622764,170,0.00388
9.722644,170,0.00384
9.824609,170,0.0038
9.928616,170,0.00376
10.03492,170,0.00372
10.14352,170,0.00368
10.25443,170,0.00364
10.36785,170,0.0036
10.48385,170,0.00356
10.60241,170,0.00352
10.72378,170,0.00348
10.84794,170,0.00344
10.97489,170,0.0034
11.10494,170,0.00336
11.23807,170,0.00332
11.37436,170,0.00328
11.51416,170,0.00324
11.65742,170,0.0032
11.80421,170,0.00316
11.95469,170,0.00312
12.10919,170,0.00308
12.26763,170,0.00304
12.43036,170,0.003
12.59739,170,0.00296
12.76905,170,0.00292
12.94535,170,0.00288
13.12661,170,0.00284
13.31315,170,0.0028
13.505,170,0.00276
13.70243,170,0.00272
13.90587,170,0.00268
14.11513,170,0.00264
14.33085,170,0.0026
14.55341,170,0.00256
14.78294,170,0.00252
15.01974,170,0.00248
15.26433,170,0.00244
15.51723,170,0.0024
15.77831,170,0.00236
16.04861,170,0.00232
16.32816,170,0.00228
16.61767,170,0.00224
16.9176,170,0.0022
17.2246,170,0.00216
17.54154,170,0.00212
17.87832,170,0.00208
18.21483,170,0.00204
18.57303,170,0.002
18.94456,170,0.00196
19.33558,170,0.00192
19.73355,170,0.00188
20.15633,170,0.00184
20.59403,170,0.0018
21.05892,170,0.00176
21.5364,170,0.00172
22.0416,170,0.00168
22.56434,170,0.00164
23.11236,170,0.0016
23.6922,170,0.00156
24.30563,170,0.00152
24.93998,170,0.00148
25.61586,170,0.00144
26.33493,170,0.0014
27.08422,170,0.00136
27.87438,170,0.00132
28.72932,170,0.00128
29.62432,170,0.00124
30.60601,170,0.0012
31.60234,170,0.00116
32.70117,170,0.00112
33.86561,170,0.00108
35.12933,170,0.00104
36.46964,170,0.001
37.9469,170,0.00096
39.50134,170,0.00092
