rotation_speed(°/s),steps,waiting_time(s)
7.001733,180,0.004
7.072274,180,0.00396
7.144184,180,0.00392
7.217511,180,0.00388
7.292389,180,0.00384
7.368745,180,0.0038
7.446871,180,0.00376
7.52654,180,0.00372
7.607981,180,0.00368
7.691245,180,0.00364
7.776229,180,0.0036
7.8633,180,0.00356
7.952199,180,0.00352
8.043149,180,0.00348
8.136275,180,0.00344
8.231535,180,0.0034
8.329073,180,0.00336
8.428911,180,0.00332
8.531253,180,0.00328
8.635921,180,0.00324
8.743429,180,0.0032
8.85347,180,0.00316
8.966435,180,0.00312
9.082181,180,0.00308
9.201082,180,0.00304
9.323114,180,0.003
9.4484,180,0.00296
9.577128,180,0.00292
9.709402,180,0.00288
9.84541,180,0.00284
9.985218,180,0.0028
10.12908,180,0.00276
10.2771,180,0.00272
10.42948,180,0.00268
10.58651,180,0.00264
10.74843,180,0.0026
10.9153,180,0.00256
11.08736,180,0.00252
11.2651,180,0.00248
11.44861,180,0.00244
11.63802,180,0.0024
11.83374,180,0.00236
12.03659,180,0.00232
12.24608,180,0.00228
12.46322,180,0.00224
12.68814,180,0.0022
12.92124,180,0.00216
13.16318,180,0.00212
13.41442,180,0.00208
13.67532,180,0.00204
13.9466,180,0.002
14.22892,180,0.00196
14.52302,180,0.00192
14.82921,180,0.00188
15.1487,180,0.00184
15.48229,180,0.0018
15.83082,180,0.00176
16.19573,180,0.00172
16.57744,180,0.00168
16.97773,180,0.00164
17.39766,180,0.0016
17.8395,180,0.00156
18.3038,180,0.00152
18.79278,180,0.00148
19.30919,180,0.00144
19.85442,180,0.0014
20.43122,180,0.00136
21.04305,180,0.00132
21.69209,180,0.00128
22.38332,180,0.00124
23.11878,180,0.0012
23.90483,180,0.00116
24.74626,180,0.00112
25.64942,180,0.00108
26.62046,180,0.00104
27.63846,180,0.001
28.79324,180,0.00096
30.00107,180,0.00092
31.35549,180,0.00088
32.80701,180,0.00084
34.38538,180,0.0008
36.14922,180,0.00076
38.0814,180,0.00072
40.22807,180,0.0006799999
42.67875,180,0.00064
45.38982,180,0.0006
48.46998,180,0.00056
52.03669,180,0.00052
56.21044,180,0.00048
60.97214,180,0.00044
66.6843,180,0.0004
73.588,180,0.00036
82.02499,180,0.00032
94.93792,180,0.00028
109.7503,180,0.00024
130.0547,180,0.0002
159.5684,180,0.00016
206.4391,180,0.00012
290.3395,180,8e-05
384.8884,180,4e-05
401.2224,180,0.0
7.001669,170,0.004
7.072164,170,0.00396
7.144016,170,0.00392
7.217345,170,0.00388
7.292238,170,0.00384
7.368642,170,0.0038
7.446689,170,0.00376
7.526415,170,0.00372
7.607896,170,0.00368
7.691077,170,0.00364
7.77616,170,0.0036
7.863123,170,0.00356
7.952103,170,0.00352
8.043065,170,0.00348
8.136114,170,0.00344
8.23137,170,0.0034
8.328911,170,0.00336
8.428742,170,0.00332
8.531055,170,0.00328
8.635766,170,0.00324
8.743196,170,0.0032
8.853259,170,0.00316
8.966151,170,0.00312
9.08202,170,0.00308
9.200841,170,0.00304
9.322921,170,0.003
9.448159,170,0.00296
9.576824,170,0.00292
9.709125,170,0.00288
9.84511,170,0.00284
9.984838,170,0.0028
10.12872,170,0.00276
10.27682,170,0.00272
10.42921,170,0.00268
10.58631,170,0.00264
10.7481,170,0.0026
10.91493,170,0.00256
11.0872,170,0.00252
11.2647,170,0.00248
11.44816,170,0.00244
11.63773,170,0.0024
11.83356,170,0.00236
12.03605,170,0.00232
12.24575,170,0.00228
12.46292,170,0.00224
12.68772,170,0.0022
12.92078,170,0.00216
13.16271,170,0.00212
13.41412,170,0.00208
13.67482,170,0.00204
13.9462,170,0.002
14.22834,170,0.00196
14.52385,170,0.00192
14.83038,170,0.00188
15.14981,170,0.00184
15.48342,170,0.0018
15.83227,170,0.00176
16.19694,170,0.00172
16.57884,170,0.00168
16.97895,170,0.00164
17.3993,170,0.0016
17.84074,170,0.00156
18.3052,170,0.00152
18.7946,170,0.00148
19.311,170,0.00144
19.85642,170,0.0014
20.43345,170,0.00136
21.04526,170,0.00132
21.6941,170,0.00128
22.38554,170,0.00124
23.1211,170,0.0012
23.90793,170,0.00116
24.74902,170,0.00112
25.65238,170,0.00108
26.62368,170,0.00104
27.67104,170,0.001
28.80597,170,0.00096
30.03239,170,0.00092
31.37625,170,0.00088
32.84212,170,0.00084
34.45128,170,0.0008
36.22749,170,0.00076
38.19387,170,0.00072
40.38829,170,0.0006799999
42.85019,170,0.00064
45.63131,170,0.0006
48.79482,170,0.00056
52.43874,170,0.00052
56.66425,170,0.00048
61.63257,170,0.00044
67.55106,170,0.0004
74.73494,170,0.00036
83.62249,170,0.00032
94.91679,170,0.00028
109.7271,170,0.00024
130.0306,170,0.0002
159.517,170,0.00016
206.3283,170,0.00012
290.069,170,8e-05
370.7862,170,4e-05
397.7786,170,0.0
7.001605,160,0.004
7.072026,160,0.00396
7.143906,160,0.00392
7.21719,160,0.00388
7.292158,160,0.00384
7.368514,160,0.0038
7.446566,160,0.00376
7.526272,160,0.00372
7.607757,160,0.00368
7.69092,160,0.00364
7.775987,160,0.0036
7.862931,160,0.00356
7.951953,160,0.00352
8.042876,160,0.00348
8.135973,160,0.00344
8.231226,160,0.0034
8.328862,160,0.00336
8.428628,160,0.00332
8.530807,160,0.00328
8.635633,160,0.00324
8.743127,160,0.0032
8.853129,160,0.00316
8.965967,160,0.00312
9.081864,160,0.00308
9.200659,160,0.00304
9.322628,160,0.003
9.447927,160,0.00296
9.576653,160,0.00292
9.709689,160,0.00288
9.845616,160,0.00284
9.985362,160,0.0028
10.12936,160,0.00276
10.27726,160,0.00272
10.42992,160,0.00268
10.58685,160,0.00264
10.74867,160,0.0026
10.9157,160,0.00256
