rotation_speed(°/s),steps,waiting_time(s)
7.469678,1,0.004
7.861392,1,0.0038
8.296169,1,0.0036
8.78183,1,0.0034
9.327904,1,0.0032
9.946389,1,0.003
10.6528,1,0.0028
11.46715,1,0.0026
12.41645,1,0.0024
13.53695,1,0.0022
14.87983,1,0.002
16.51847,1,0.0018
18.56263,1,0.0016
21.18397,1,0.0014
24.66819,1,0.0012
29.52277,1,0.001
36.75777,1,0.0008
48.68762,1,0.0006
72.08538,1,0.0004
138.8088,1,0.0002
14.93933,2,0.004
15.7223,2,0.0038
16.592,2,0.0036
17.56312,2,0.0034
18.65544,2,0.0032
19.8922,2,0.003
21.30518,2,0.0028
22.93366,2,0.0026
24.83208,2,0.0024
27.07325,2,0.0022
29.75829,2,0.002
33.0352,2,0.0018
37.12305,2,0.0016
42.36578,2,0.0014
49.3331,2,0.0012
59.03877,2,0.001
73.51161,2,0.0008
97.35808,2,0.0006
144.1446,2,0.0004
277.4566,2,0.0002
22.4086,3,0.004
23.58264,3,0.0038
24.88733,3,0.0036
26.34387,3,0.0034
27.98234,3,0.0032
29.83767,3,0.003
31.95648,3,0.0028
34.39963,3,0.0026
37.24669,3,0.0024
40.6075,3,0.0022
44.63551,3,0.002
49.55101,3,0.0018
55.68182,3,0.0016
63.54591,3,0.0014
73.99533,3,0.0012
88.55697,3,0.001
110.252,3,0.0008
146.0261,3,0.0006
216.1788,3,0.0004
416.0051,3,0.0002
29.87775,4,0.004
31.44323,4,0.0038
33.18245,4,0.0036
35.12533,4,0.0034
37.30933,4,0.0032
39.78222,4,0.003
42.6067,4,0.0028
45.86416,4,0.0026
49.66076,4,0.0024
54.14142,4,0.0022
59.51233,4,0.002
66.06487,4,0.0018
74.23917,4,0.0016
84.72135,4,0.0014
98.65701,4,0.0012
118.0639,4,0.001
146.9866,4,0.0008
194.6737,4,0.0006
288.2047,4,0.0004
554.4074,4,0.0002
37.34591,5,0.004
39.303,5,0.0038
41.47716,5,0.0036
43.9049,5,0.0034
46.63475,5,0.0032
49.72678,5,0.003
53.25844,5,0.0028
57.32963,5,0.0026
62.0746,5,0.0024
67.67411,5,0.0022
74.38579,5,0.002
82.57752,5,0.0018
92.79241,5,0.0016
105.8977,5,0.0014
123.303,5,0.0012
147.5709,5,0.001
183.7108,5,0.0008
243.3057,5,0.0006
360.1772,5,0.0004
692.734,5,0.0002
44.81419,6,0.004
47.16306,6,0.0038
49.77128,6,0.0036
52.68396,6,0.0034
55.95955,6,0.0032
59.67161,6,0.003
63.90802,6,0.0028
68.79261,6,0.0026
74.48647,6,0.0024
81.20761,6,0.0022
89.26035,6,0.002
99.08468,6,0.0018
111.3491,6,0.0016
127.0697,6,0.0014
147.9651,6,0.0012
177.0573,6,0.001
220.4518,6,0.0008
291.9339,6,0.0006
432.1449,6,0.0004
831.2436,6,0.0002
52.23028,7,0.004
54.96702,7,0.0038
58.00746,7,0.0036
61.40216,7,0.0034
65.21968,7,0.0032
69.54426,7,0.003
74.48417,7,0.0028
80.17367,7,0.0026
86.81029,7,0.0024
